Season,TeamName,AdjTempo,AdjOE,AdjDE,AdjEM,seed
2019,Abilene Christian,66.0723,103.756,101.654,2.10207,15
2019,Air Force,66.4715,100.558,107.397,-6.83837,
2019,Akron,66.0782,99.9094,93.8246,6.08479,
2019,Alabama,68.7086,108.188,96.7623,11.4254,
2019,Alabama A&M,65.5578,86.6081,109.256,-22.648,
2019,Alabama St.,67.1282,94.7211,111.082,-16.3612,
2019,Albany,65.8025,98.2938,108.159,-9.86471,
2019,Alcorn St.,65.6778,88.9071,113.548,-24.6414,
2019,American,66.4813,101.908,105.041,-3.13245,
2019,Appalachian St.,71.5042,106.041,109.644,-3.60281,
2019,Arizona,66.6339,105.051,98.2265,6.8244,
2019,Arizona St.,70.56,109.886,98.6844,11.2014,11
2019,Arkansas,70.2666,109.646,97.3095,12.3363,
2019,Arkansas Pine Bluff,65.1325,96.1897,109.844,-13.6546,
2019,Arkansas St.,68.2095,102.365,110.041,-7.67632,
2019,Army,69.6626,96.2368,103.092,-6.85548,
2019,Auburn,67.5646,119.283,97.1706,22.112,5
2019,Austin Peay,68.9237,110.741,106.845,3.89555,
2019,Ball St.,70.2177,102.409,98.3372,4.07198,
2019,Baylor,65.3193,113.646,98.3427,15.3036,9
2019,Belmont,71.1915,114.952,101.886,13.0657,11
2019,Bethune Cookman,72.1395,93.4135,105.536,-12.123,
2019,Binghamton,65.7858,95.9724,112.72,-16.7478,
2019,Boise St.,65.4139,107.187,103.96,3.22671,
2019,Boston College,67.2369,107.642,102.338,5.30315,
2019,Boston University,66.201,104.239,110.168,-5.92894,
2019,Bowling Green,70.3978,108.302,102.138,6.16473,
2019,Bradley,65.1302,101.015,101.375,-0.359772,15
2019,Brown,70.8829,98.9392,97.0408,1.89832,
2019,Bryant,67.5383,99.3974,115.012,-15.615,
2019,Bucknell,70.5569,105.568,103.69,1.87844,
2019,Buffalo,73.8244,115.006,94.6738,20.3325,6
2019,Butler,65.9999,110.952,101.046,9.90641,
2019,BYU,70.7947,111.82,103.992,7.82759,
2019,Cal Baptist,67.8733,106.809,109.313,-2.50378,
2019,Cal Poly,66.0766,96.8904,114.665,-17.7749,
2019,Cal St. Bakersfield,65.3604,102.595,107.745,-5.14935,
2019,Cal St. Fullerton,69.7667,99.0151,102.448,-3.43264,
2019,Cal St. Northridge,70.4974,104.562,112.538,-7.97596,
2019,California,66.4996,103.034,110.255,-7.22036,
2019,Campbell,65.3224,108.015,109.905,-1.8896,
2019,Canisius,67.5986,101.587,111.458,-9.87167,
2019,Central Arkansas,70.4328,99.8847,111.041,-11.1564,
2019,Central Connecticut,69.0402,97.0884,111.966,-14.8772,
2019,Central Michigan,70.9059,110.375,105.496,4.87858,
2019,Charleston,65.3312,108.459,103.398,5.06071,
2019,Charleston Southern,69.2498,101.392,101.347,0.04493,
2019,Charlotte,64.4379,95.5107,106.679,-11.1688,
2019,Chattanooga,66.0555,101.587,109.443,-7.85526,
2019,Chicago St.,70.0455,90.4137,118.308,-27.8942,
2019,Cincinnati,63.3006,111.171,95.0163,16.1545,7
2019,Clemson,66.0324,108.789,90.8532,17.9355,
2019,Cleveland St.,69.0007,101.625,111.692,-10.0678,
2019,Coastal Carolina,69.3727,104.868,105.014,-0.145496,
2019,Colgate,66.4179,110.152,105.866,4.28609,15
2019,Colorado,67.689,106.645,96.2353,10.41,
2019,Colorado St.,66.9875,107.545,108.77,-1.22471,
2019,Columbia,67.5008,102.017,106.503,-4.48597,
2019,Connecticut,68.5467,108.415,102.37,6.04432,
2019,Coppin St.,70.1261,88.6399,109.19,-20.5503,
2019,Cornell,67.61,99.2859,103.918,-4.63174,
2019,Creighton,68.4388,113.378,99.9005,13.4778,
2019,Dartmouth,65.7763,103.577,108.226,-4.64905,
2019,Davidson,64.5598,107.647,99.364,8.28343,
2019,Dayton,64.4576,111.622,100.185,11.4369,
2019,Delaware,63.2003,104.847,112.914,-8.06665,
2019,Delaware St.,69.6111,84.3129,113.977,-29.664,
2019,Denver,67.0555,99.8415,112.965,-13.1231,
2019,DePaul,69.4354,110.842,104.497,6.34487,
2019,Detroit,68.4933,106.174,112.654,-6.47974,
2019,Drake,69.0946,107.105,102.784,4.32071,
2019,Drexel,69.0164,105.626,112.994,-7.36732,
2019,Duke,72.2812,120.204,88.2449,31.9593,1
2019,Duquesne,69.7696,104.509,105.319,-0.809701,
2019,East Carolina,67.9834,98.0395,107.029,-8.98975,
2019,East Tennessee St.,66.99,109.242,99.4164,9.82573,
2019,Eastern Illinois,66.8218,99.6346,111.876,-12.2411,
