Year,Date,,Schl,Rk.,,Opp,Rk.,Outcome,,PTS,OPP,MOV,,OT
2018-19,2019-04-08,,Texas Tech,9,,Virginia,2,L,,77,85,-8,,1
2018-19,2019-04-08,,Virginia,2,,Texas Tech,9,W,,85,77,8,,1
2018-19,2019-04-06,,Auburn,14,,Virginia,2,L,,62,63,-1,,
2018-19,2019-04-06,,Virginia,2,,Auburn,14,W,,63,62,1,,
2018-19,2019-04-06,,Michigan State,5,,Texas Tech,9,L,,51,61,-10,,
2018-19,2019-04-06,,Texas Tech,9,,Michigan State,5,W,,61,51,10,,
2018-19,2019-03-31,,Auburn,14,,Kentucky,7,W,,77,71,6,,1
2018-19,2019-03-31,,Kentucky,7,,Auburn,14,L,,71,77,-6,,1
2018-19,2019-03-31,,Duke,1,,Michigan State,5,L,,67,68,-1,,
2018-19,2019-03-31,,Michigan State,5,,Duke,1,W,,68,67,1,,
2018-19,2019-03-30,,Gonzaga,4,,Texas Tech,9,L,,69,75,-6,,
2018-19,2019-03-30,,Texas Tech,9,,Gonzaga,4,W,,75,69,6,,
2018-19,2019-03-30,,Purdue,13,,Virginia,2,L,,75,80,-5,,1
2018-19,2019-03-30,,Virginia,2,,Purdue,13,W,,80,75,5,,1
2018-19,2019-03-29,,Louisiana State,12,,Michigan State,5,L,,63,80,-17,,
2018-19,2019-03-29,,Michigan State,5,,Louisiana State,12,W,,80,63,17,,
2018-19,2019-03-29,,Auburn,14,,North Carolina,3,W,,97,80,17,,
2018-19,2019-03-29,,North Carolina,3,,Auburn,14,L,,80,97,-17,,
2018-19,2019-03-29,,Duke,1,,Virginia Tech,16,W,,75,73,2,,
2018-19,2019-03-29,,Virginia Tech,16,,Duke,1,L,,73,75,-2,,
2018-19,2019-03-29,,Houston,11,,Kentucky,7,L,,58,62,-4,,
2018-19,2019-03-29,,Kentucky,7,,Houston,11,W,,62,58,4,,
2018-19,2019-03-28,,Florida State,10,,Gonzaga,4,L,,58,72,-14,,
2018-19,2019-03-28,,Gonzaga,4,,Florida State,10,W,,72,58,14,,
2018-19,2019-03-28,,Purdue,13,,Tennessee,6,W,,99,94,5,,1
2018-19,2019-03-28,,Tennessee,6,,Purdue,13,L,,94,99,-5,,1
2018-19,2019-03-28,,Michigan,8,,Texas Tech,9,L,,44,63,-19,,
2018-19,2019-03-28,,Texas Tech,9,,Michigan,8,W,,63,44,19,,
2018-19,2019-03-28,,Oregon,,,Virginia,2,L,,49,53,-4,,
2018-19,2019-03-28,,Virginia,2,,Oregon,,W,,53,49,4,,
2018-19,2019-03-24,,Iowa,,,Tennessee,6,L,,77,83,-6,,1
2018-19,2019-03-24,,Tennessee,6,,Iowa,,W,,83,77,6,,1
2018-19,2019-03-24,,North Carolina,3,,Washington,,W,,81,59,22,,
2018-19,2019-03-24,,Washington,,,North Carolina,3,L,,59,81,-22,,
2018-19,2019-03-24,,Central Florida,,,Duke,1,L,,76,77,-1,,
2018-19,2019-03-24,,Duke,1,,Central Florida,,W,,77,76,1,,
2018-19,2019-03-24,,Buffalo,15,,Texas Tech,9,L,,58,78,-20,,
2018-19,2019-03-24,,Texas Tech,9,,Buffalo,15,W,,78,58,20,,
2018-19,2019-03-24,,Oklahoma,,,Virginia,2,L,,51,63,-12,,
2018-19,2019-03-24,,Virginia,2,,Oklahoma,,W,,63,51,12,,
2018-19,2019-03-24,,Liberty,,,Virginia Tech,16,L,,58,67,-9,,
2018-19,2019-03-24,,Virginia Tech,16,,Liberty,,W,,67,58,9,,
2018-19,2019-03-24,,Houston,11,,Ohio State,,W,,74,59,15,,
2018-19,2019-03-24,,Ohio State,,,Houston,11,L,,59,74,-15,,
2018-19,2019-03-24,,UC-Irvine,,,Oregon,,L,,54,73,-19,,
2018-19,2019-03-24,,Oregon,,,UC-Irvine,,W,,73,54,19,,
2018-19,2019-03-23,,Louisiana State,12,,Maryland,,W,,69,67,2,,
2018-19,2019-03-23,,Maryland,,,Louisiana State,12,L,,67,69,-2,,
2018-19,2019-03-23,,Kentucky,7,,Wofford,19,W,,62,56,6,,
2018-19,2019-03-23,,Wofford,19,,Kentucky,7,L,,56,62,-6,,
2018-19,2019-03-23,,Florida,,,Michigan,8,L,,49,64,-15,,
2018-19,2019-03-23,,Michigan,8,,Florida,,W,,64,49,15,,
2018-19,2019-03-23,,Florida State,10,,Murray State,,W,,90,62,28,,
2018-19,2019-03-23,,Murray State,,,Florida State,10,L,,62,90,-28,,
2018-19,2019-03-23,,Baylor,,,Gonzaga,4,L,,71,83,-12,,
2018-19,2019-03-23,,Gonzaga,4,,Baylor,,W,,83,71,12,,
2018-19,2019-03-23,,Michigan State,5,,Minnesota,,W,,70,50,20,,
2018-19,2019-03-23,,Minnesota,,,Michigan State,5,L,,50,70,-20,,
2018-19,2019-03-23,,Purdue,13,,Villanova,23,W,,87,61,26,,
2018-19,2019-03-23,,Villanova,23,,Purdue,13,L,,61,87,-26,,
2018-19,2019-03-23,,Auburn,14,,Kansas,17,W,,89,75,14,,
2018-19,2019-03-23,,Kansas,17,,Auburn,14,L,,75,89,-14,,
2018-19,2019-03-22,,Cincinnati,22,,Iowa,,L,,72,79,-7,,
2018-19,2019-03-22,,Iowa,,,Cincinnati,22,W,,79,72,7,,
2018-19,2019-03-22,,Mississippi,,,Oklahoma,,L,,72,95,-23,,
2018-19,2019-03-22,,Oklahoma,,,Mississippi,,W,,95,72,23,,
2018-19,2019-03-22,,Northern Kentucky,,,Texas Tech,9,L,,57,72,-15,,
2018-19,2019-03-22,,Texas Tech,9,,Northern Kentucky,,W,,72,57,15,,
2018-19,2019-03-22,,UC-Irvine,,,Kansas State,18,W,,70,64,6,,
2018-19,2019-03-22,,Kansas State,18,,UC-Irvine,,L,,64,70,-6,,
2018-19,2019-03-22,,Colgate,,,Tennessee,6,L,,70,77,-7,,
2018-19,2019-03-22,,Tennessee,6,,Colgate,,W,,77,70,7,,
2018-19,2019-03-22,,Gardner-Webb,,,Virginia,2,L,,56,71,-15,,
2018-19,2019-03-22,,Virginia,2,,Gardner-Webb,,W,,71,56,15,,
2018-19,2019-03-22,,Arizona State,,,Buffalo,15,L,,74,91,-17,,
2018-19,2019-03-22,,Buffalo,15,,Arizona State,,W,,91,74,17,,
2018-19,2019-03-22,,Oregon,,,Wisconsin,21,W,,72,54,18,,
2018-19,2019-03-22,,Wisconsin,21,,Oregon,,L,,54,72,-18,,
2018-19,2019-03-22,,Utah State,25,,Washington,,L,,61,78,-17,,
